330.0, 235.0, water
331.0, 235.0, water
332.0, 235.0, water
334.0, 235.0, water
336.0, 234.0, water
338.0, 233.0, water
341.0, 231.0, water
344.0, 229.0, water
347.0, 226.0, water
350.0, 222.0, water
353.0, 219.0, water
355.0, 216.0, water
357.0, 212.0, water
358.0, 208.0, water
359.0, 205.0, water
359.0, 202.0, water
360.0, 199.0, water
360.0, 196.0, water
360.0, 195.0, water
360.0, 194.0, water
360.0, 193.0, water
360.0, 192.0, water
359.0, 191.0, water
359.0, 188.0, water
358.0, 185.0, water
356.0, 181.0, water
353.0, 177.0, water
349.0, 172.0, water
345.0, 166.0, water
339.0, 160.0, water
329.0, 151.0, water
324.0, 147.0, water
320.0, 145.0, water
317.0, 145.0, water
315.0, 144.0, water
313.0, 144.0, water
312.0, 144.0, water
311.0, 144.0, water
311.0, 145.0, water
309.0, 150.0, water
308.0, 153.0, water
306.0, 168.0, water
308.0, 173.0, water
309.0, 175.0, water
311.0, 176.0, water
312.0, 178.0, water
316.0, 180.0, water
318.0, 181.0, water
319.0, 182.0, water
320.0, 186.0, water
323.0, 192.0, water
324.0, 195.0, water
325.0, 198.0, water
325.0, 200.0, water
326.0, 202.0, water
327.0, 203.0, water
328.0, 203.0, water
328.0, 205.0, water
328.0, 206.0, water
329.0, 205.0, water
330.0, 202.0, water
331.0, 198.0, water
332.0, 191.0, water
332.0, 189.0, water
332.0, 188.0, water
332.0, 185.0, water
332.0, 184.0, water
332.0, 183.0, water
332.0, 181.0, water
331.0, 181.0, water
331.0, 182.0, water
331.0, 184.0, water
331.0, 190.0, water
331.0, 193.0, water
332.0, 196.0, water
333.0, 200.0, water
333.0, 201.0, water
334.0, 202.0, water
334.0, 201.0, water
334.0, 196.0, water
334.0, 187.0, water
334.0, 177.0, water
334.0, 174.0, water
334.0, 172.0, water
334.0, 173.0, water
334.0, 176.0, water
334.0, 186.0, water
335.0, 199.0, water
337.0, 202.0, water
338.0, 203.0, water
339.0, 203.0, water
340.0, 203.0, water
342.0, 201.0, water
