271.0, 99.0, tree
273.0, 99.0, tree
275.0, 99.0, tree
276.0, 99.0, tree
278.0, 99.0, tree
280.0, 100.0, tree
281.0, 102.0, tree
282.0, 102.0, tree
284.0, 104.0, tree
285.0, 105.0, tree
287.0, 106.0, tree
288.0, 107.0, tree
290.0, 108.0, tree
290.0, 110.0, tree
290.0, 111.0, tree
291.0, 111.0, tree
291.0, 112.0, tree
291.0, 113.0, tree
291.0, 114.0, tree
291.0, 115.0, tree
291.0, 118.0, tree
291.0, 121.0, tree
291.0, 124.0, tree
291.0, 126.0, tree
291.0, 128.0, tree
291.0, 129.0, tree
290.0, 131.0, tree
289.0, 131.0, tree
289.0, 133.0, tree
288.0, 134.0, tree
287.0, 135.0, tree
287.0, 136.0, tree
287.0, 138.0, tree
287.0, 139.0, tree
286.0, 141.0, tree
286.0, 142.0, tree
286.0, 144.0, tree
286.0, 145.0, tree
286.0, 146.0, tree
287.0, 149.0, tree
288.0, 150.0, tree
289.0, 151.0, tree
291.0, 153.0, tree
293.0, 153.0, tree
294.0, 153.0, tree
296.0, 154.0, tree
297.0, 154.0, tree
301.0, 155.0, tree
306.0, 156.0, tree
312.0, 157.0, tree
320.0, 159.0, tree
328.0, 161.0, tree
337.0, 162.0, tree
345.0, 164.0, tree
353.0, 165.0, tree
360.0, 165.0, tree
365.0, 165.0, tree
369.0, 165.0, tree
370.0, 165.0, tree
371.0, 165.0, tree
372.0, 165.0, tree
258.0, 201.0, tree
260.0, 202.0, tree
261.0, 202.0, tree
262.0, 204.0, tree
263.0, 204.0, tree
263.0, 205.0, tree
264.0, 205.0, tree
265.0, 206.0, tree
266.0, 207.0, tree
266.0, 208.0, tree
268.0, 209.0, tree
269.0, 211.0, tree
269.0, 212.0, tree
270.0, 213.0, tree
270.0, 214.0, tree
271.0, 214.0, tree
271.0, 215.0, tree
272.0, 216.0, tree
272.0, 217.0, tree
272.0, 218.0, tree
272.0, 219.0, tree
272.0, 220.0, tree
272.0, 221.0, tree
272.0, 222.0, tree
272.0, 223.0, tree
272.0, 224.0, tree
272.0, 225.0, tree
272.0, 226.0, tree
272.0, 227.0, tree
272.0, 228.0, tree
271.0, 229.0, tree
271.0, 230.0, tree
271.0, 231.0, tree
270.0, 232.0, tree
270.0, 233.0, tree
270.0, 234.0, tree
270.0, 236.0, tree
270.0, 237.0, tree
269.0, 238.0, tree
269.0, 239.0, tree
269.0, 241.0, tree
269.0, 242.0, tree
268.0, 243.0, tree
268.0, 245.0, tree
268.0, 246.0, tree
268.0, 247.0, tree
268.0, 248.0, tree
269.0, 249.0, tree
270.0, 249.0, tree
271.0, 250.0, tree
272.0, 250.0, tree
273.0, 251.0, tree
274.0, 251.0, tree
275.0, 251.0, tree
276.0, 251.0, tree
277.0, 251.0, tree
277.0, 252.0, tree
278.0, 252.0, tree
279.0, 252.0, tree
280.0, 252.0, tree
281.0, 252.0, tree
282.0, 252.0, tree
283.0, 253.0, tree
284.0, 254.0, tree
285.0, 255.0, tree
287.0, 255.0, tree
288.0, 256.0, tree
288.0, 257.0, tree
289.0, 257.0, tree
291.0, 258.0, tree
292.0, 259.0, tree
293.0, 260.0, tree
293.0, 261.0, tree
294.0, 262.0, tree
295.0, 263.0, tree
295.0, 265.0, tree
296.0, 266.0, tree
297.0, 268.0, tree
298.0, 269.0, tree
299.0, 270.0, tree
299.0, 272.0, tree
299.0, 273.0, tree
300.0, 274.0, tree
300.0, 275.0, tree
300.0, 277.0, tree
300.0, 278.0, tree
300.0, 279.0, tree
300.0, 280.0, tree
300.0, 282.0, tree
300.0, 284.0, tree
299.0, 285.0, tree
298.0, 286.0, tree
297.0, 288.0, tree
296.0, 289.0, tree
295.0, 289.0, tree
293.0, 291.0, tree
292.0, 292.0, tree
290.0, 293.0, tree
288.0, 294.0, tree
288.0, 295.0, tree
287.0, 295.0, tree
286.0, 297.0, tree
285.0, 297.0, tree
283.0, 297.0, tree
282.0, 297.0, tree
280.0, 297.0, tree
279.0, 298.0, tree
277.0, 298.0, tree
276.0, 298.0, tree
275.0, 298.0, tree
273.0, 298.0, tree
272.0, 298.0, tree
271.0, 298.0, tree
269.0, 297.0, tree
267.0, 297.0, tree
265.0, 296.0, tree
