201.0, 0, 260.0
200.0, 0, 261.0
200.0, 0, 262.0
200.0, 0, 263.0
199.0, 0, 264.0
199.0, 0, 266.0
199.0, 0, 268.0
199.0, 0, 273.0
199.0, 0, 278.0
199.0, 0, 283.0
199.0, 0, 287.0
199.0, 0, 290.0
199.0, 0, 292.0
199.0, 0, 293.0
199.0, 0, 294.0
199.0, 0, 296.0
200.0, 0, 296.0
201.0, 0, 298.0
204.0, 0, 300.0
207.0, 0, 303.0
210.0, 0, 307.0
214.0, 0, 310.0
217.0, 0, 313.0
221.0, 0, 315.0
223.0, 0, 318.0
226.0, 0, 320.0
231.0, 0, 323.0
234.0, 0, 325.0
237.0, 0, 327.0
240.0, 0, 329.0
242.0, 0, 330.0
244.0, 0, 331.0
245.0, 0, 331.0
245.0, 0, 333.0
246.0, 0, 334.0
246.0, 0, 336.0
246.0, 0, 337.0
246.0, 0, 340.0
246.0, 0, 343.0
246.0, 0, 344.0
246.0, 0, 346.0
246.0, 0, 347.0
246.0, 0, 348.0
246.0, 0, 349.0
190.0, 0, 75.0
190.0, 0, 76.0
189.0, 0, 77.0
189.0, 0, 78.0
189.0, 0, 80.0
189.0, 0, 83.0
189.0, 0, 87.0
190.0, 0, 92.0
192.0, 0, 97.0
192.0, 0, 101.0
194.0, 0, 105.0
196.0, 0, 111.0
196.0, 0, 116.0
197.0, 0, 119.0
198.0, 0, 123.0
198.0, 0, 125.0
198.0, 0, 129.0
198.0, 0, 132.0
198.0, 0, 136.0
198.0, 0, 140.0
198.0, 0, 144.0
197.0, 0, 148.0
197.0, 0, 151.0
195.0, 0, 155.0
194.0, 0, 158.0
193.0, 0, 161.0
191.0, 0, 164.0
189.0, 0, 168.0
187.0, 0, 170.0
184.0, 0, 173.0
182.0, 0, 177.0
181.0, 0, 178.0
181.0, 0, 179.0
180.0, 0, 181.0
180.0, 0, 182.0
180.0, 0, 184.0
180.0, 0, 186.0
180.0, 0, 189.0
180.0, 0, 192.0
180.0, 0, 195.0
180.0, 0, 199.0
181.0, 0, 203.0
181.0, 0, 206.0
183.0, 0, 210.0
183.0, 0, 213.0
185.0, 0, 215.0
186.0, 0, 216.0
186.0, 0, 218.0
187.0, 0, 221.0
188.0, 0, 225.0
189.0, 0, 230.0
190.0, 0, 235.0
192.0, 0, 241.0
193.0, 0, 247.0
